"IDalt","Buffer","MeanDist","MedianDist","NumLines","TotalLength_m","Notes"
2261,"20km",16785.6438929236,16458.6134060942,558,902554,"Full group used"
2811,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2834,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2843,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2869,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2892,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2925,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2960,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
2998,"20km",15456.3411620633,14470.6367007858,522,616989,"Full group used"
3313,"20km",17518.524148011,16869.1096107652,196,621612,"Full group used"
3314,"20km",17805.3449543958,17209.5764863656,187,592646,"Full group used"
3450,"20km",17805.3449543958,17209.5764863656,187,592646,"Full group used"
3276,"20km",17590.7755760826,17451.1997937064,239,540344,"Full group used"
3277,"20km",17590.7755760826,17451.1997937064,239,540344,"Full group used"
3278,"20km",17590.7755760826,17451.1997937064,239,540344,"Full group used"
3315,"20km",16361.4248294667,15784.6920718686,422,660905,"Full group used"
3316,"20km",16361.4248294667,15784.6920718686,422,660905,"Full group used"
3317,"20km",16234.8093303583,15926.2098758639,303,514278,"Full group used"
3329,"20km",16095.8360174681,15516.9622004874,306,531386,"Full group used"
3330,"20km",16095.8360174681,15516.9622004874,306,531386,"Full group used"
3331,"20km",16737.3148474091,16242.1001147561,409,678555,"Full group used"
3332,"20km",16737.3148474091,16242.1001147561,409,678555,"Full group used"
3388,"20km",16095.8360174681,15516.9622004874,306,531386,"Full group used"
3389,"20km",16737.3148474091,16242.1001147561,409,678555,"Full group used"
3396,"20km",17590.7755760826,17451.1997937064,239,540344,"Full group used"
3397,"20km",17590.7755760826,17451.1997937064,239,540344,"Full group used"
3419,"20km",16737.3148474091,16242.1001147561,409,678555,"Full group used"
3432,"20km",16095.8360174681,15516.9622004874,306,531386,"Full group used"
3434,"20km",17775.8950706088,17781.452240974,171,400180,"Full group used"
3469,"20km",17642.6033559395,17282.8259884869,212,453243,"Full group used"
3161,"20km",17531.5565935727,17316.1305257027,634,795328,"Full group used"
3162,"20km",17531.5565935727,17316.1305257027,634,795328,"Full group used"
